 TICKER, CODE, EXCHANGE, NAME
ACHC,7RA,F,Acadia Healthcare Company Inc
ZG,0ZG,F,Zillow Group Inc
ZG,Z,US,Zillow Group Inc Class C
PNR,PNT,F,Pentair plc
GMED,GM0N,F,Globus Medical Inc
ESLT,ESLT,TA,Elbit Systems Ltd
COTY,CO3A,XETRA,Coty Inc
COTY,CO3A,F,Coty Inc
KBR,K6B,F,KBR Inc
SEE,SEE,F,Sears Holdings Corporation
DCI,DCI,F,DCI DATABASE - Frankfurt Stock Exchang
WEX,WL9,F,WEX Inc
EME,EM4,F,EMCOR Group Inc
PLNT,3PL,F,Planet Fitness Inc
PLUG,PLUN,STU,PLUG POWER (PLUN.SG)
PLUG,PLUN,XETRA,Plug Power Inc
PLUG,PLUN,F,Plug Power Inc
GLOB,2G2,F,Globant SA
XRAY,DY2,XETRA,DENTSPLY International Inc
XRAY,DY2,F,Dentsply Sirona Inc
CAR,CUCA,BE,AVIS BUDGET GROUP
CAR,CUCA,STU,AVIS BUDGET GROUP (CUCA.SG)
CAR,CUCA,F,Avis Budget Group Inc
CROX,C7N,MU,Crocs Inc
CROX,C7N,STU,CROCS (C7N.SG)
CROX,C7N,F,Crocs Inc
CROX,C7N,BE,Crocs Inc
ALV,,,
ALV,LIV,F,Autoliv Inc.
MTZ,MTZ,F,M&T Bank Corp
FR,F5W,F,First Industrial Realty Trust Inc
AIZ,AIZP,US,Assurant Inc
WAL,WAL,F,WALTER ENERGY  - Frankfurt Stock Exchang
WAL,WALA,US,Western Alliance Bancorporation SUB DEBENTURS 56
YPF,YPFD,BA,YPF S.A. D
RBA,RBA,TO,Ritchie Bros Auctioneers
SWN,SWN,F,Southwest Airlines Co
KT,030200,KO,KT Corporation
RH,RS1,F,RH Inc.
SF,SFB,US,Stifel Financial Corporation 5.20% Senior Notes due 2047
ST,S94,F,SATERI HOLDINGS
CAE,CAE,TO,CAE Inc.
CAE,CAE,F,CAE INC - Frankfurt Stock Exchang
LEVI,LV2B,XETRA,LEVI STRAUSS + CO. CL.A
HOG,HOG,F,HOLOGRAM - Frankfurt Stock Exchang
STAG,SW6,F,STAG Industrial Inc
COUP,2C0,F,Coupa Software Inc
COUP,2C0,BE,CARLISLE GOLDFIELDS
DOOO,B15A,F,BRP Inc
DOOO,DOO,TO,BRP Inc
AGNC,AGNCM,US,AGNC Investment Corp
AGNC,AGNCN,US,AGNC Investment Corp.
AGNC,AGNCO,US,AGNC Investment Corp
AGNC,AGNCP_old,US,American Capital Agency Corp.
RRC,RRC,F,Range Resources Corp
CHH,CHH,F,CK Infrastructure Holdings Limited
RLI,RL1,F,RLI Corp
AMG,MGR,US,Affiliated Managers Group Inc
NTNX,0NU,F,Nutanix Inc
X,X,BA,United States Steel Corp
PII,PL6,F,Polaris Inc
TPX,TPX,F,Toppan Inc
NFG,NFG,F,National Fuel Gas Company
ELAN,5EA,XETRA,ELANCO ANIMAL HEALTH.
ELAN,ELAT,US,Elanco Animal Health Inc
SIM,SIMECB,MX,Grupo Simec S.A.B. de C.V
VLY,VLYPO,US,Valley National Bancorp B Pref
VLY,VLYPP,US,Valley National Bancorp A Pref
MSA,M07,F,MSA Safety Incorporated
HRB,HRB,F,H&R Block Inc
LAD,LMO,F,Lithia Motors Inc
M,MACY34,SA,Macy's Inc
SAIA,SQR,F,Saia Inc
ROKU,R35,F,Roku Inc
IDA,IDA,F,Indra Sistemas S.A
NVST,0HV,XETRA,ENVISTA HOLDINGS   DL-01
FTI,FTI,PA,TechnipFMC plc
