 TICKER, NAME, TITLE, YEAR BORN
ALYA,Mr. Russell Lewell Smith,Pres of Alithya USA,1967
ALYA,Mr. Robert  Lamarre,Chief Information Officer,1965
ALYA,"Ms. Dany  Paradis ASA, C.M.A., C.P.A., ICD.D",Sr. VP of Quebec,NA
ALYA,Mr. Nigel  Fonseca,Sr. VP of Ontario & Western Canada,NA
ALYA,Mr. John  Scandar,Sr. VP of Microsoft Practice in Canada & the US,1968
ALYA,Mr. Steeve  Duchesne,Sr. VP,NA
AMC,Mr. Marc  Pais,"Founder, Pres, CEO & Director",NA
AMC,"Mr. Sung Min  Myung C.A., CPA",Chief Financial Officer,1986
AMC,Mr. Conor  Dooley,Sec. & Director,1980
AMC,"Mr. David S. Smith CPG, M.B.A., M.S.",VP of Exploration,NA
AMM,"Mr. James Duane Poliquin P. Eng., P.Eng.",Founder & Chairman,1941
AMM,"Dr. Morgan James Poliquin M.Sc., P.Eng.","Pres, CEO & Director",1972
AMM,"Mr. Korm  Trieu C.A., CPA",Chief Financial Officer,1965
AMM,"Mr. John Daniel McCleary P. Eng., P.Geol",Advisor,1941
