 TICKER,DATE,EPS ACTUAL
HCLTECH,2009-03-31,4.0343
HCLTECH,2008-03-31,5.3927
HCLTECH,2007-03-31,5.1861
HCLTECH,2005-03-31,2.7062
HDFC,2022-12-31,20.1
HDFC,2022-03-31,86.39
HDFC,2021-03-31,104.95
HDFC,2020-03-31,121.54
HDFC,2019-03-31,94.56
HDFC,2018-03-31,57.83
HDFC,2017-03-31,61.82
HDFC,2016-03-31,63.59
HDFC,2015-03-31,55.3
HDFC,2014-03-31,50.61
HDFC,2013-03-31,43.3641
HDFCAMC,2022-12-31,14.72
HDFCAMC,2022-03-31,65.29
HDFCAMC,2021-03-31,24.5
HDFCBANK,2022-12-31,36
HDFCBANK,2018-03-31,66.9
HDFCBANK,2017-03-31,15.4
HDFCLIFE,2022-12-31,0
HDIL,2017-12-31,0.43
HEG,2022-12-31,0
HEIDELBERG,2022-12-31,0
HEIDELBERG,2018-03-31,5.88
HERCULES,2022-12-31,0
HERITGFOOD,2022-12-31,8.84
HERITGFOOD,2018-03-31,11.73
HERITGFOOD,2017-03-31,3.17
HEROMOTOCO,2022-12-31,0
HESTERBIO,2022-12-31,0
HFCL,2022-12-31,0
HGINFRA,2022-12-31,24.9
HGINFRA,2022-03-31,51.98
HGS,2022-12-31,23.45
HGS,2017-03-31,20.62
HIKAL,2022-12-31,0
HIL,2022-12-31,0
HIL,2018-03-31,58.72
HIMATSEIDE,2022-12-31,14.91
HINDALCO,2022-12-31,0
HINDCOMPOS,2016-06-30,8.36
HINDCOMPOS,2015-03-31,16.33
HINDCON,2022-09-30,0
HINDCOPPER,2022-12-31,0
HINDOILEXP,2022-12-31,0
HINDPETRO,2022-12-31,31.05
HINDPETRO,2018-03-31,44.74
HINDUNILVR,2022-12-31,0
HINDWAREAP,2022-12-31,0
HINDZINC,2022-12-31,0
