 TICKER,DATE,DATE FORMATTED,SHARES MLN,SHARES
XOM,2019,2019-12-31,4278.1955,4278195500
XOM,2018,2018-12-31,4255.3191,4255319099.9999995
XOM,2017,2017-12-31,4270.0000,4270000000
XOM,2016,2016-12-31,4097.5610,4097560999.9999995
XOM,2015,2015-12-31,4149.2537,4149253700
XOM,2014,2014-12-31,4211.5385,4211538499.9999995
XOM,2013,2013-12-31,4371.7277,4371727700
XOM,2012,2012-12-31,4522.7273,4522727300
XOM,2011,2011-12-31,4775.0000,4775000000
XOM,2010,2010-12-31,4971.0000,4971000000
XOM,2009,2009-12-31,4736.0000,4736000000
XOM,2008,2008-12-31,4959.0000,4959000000
XOM,2007,2007-12-31,5364.5320,5364532000
XOM,2006,2006-12-31,5728.3951,5728395100
XOM,2005,2005-12-31,6131.3869,6131386900
XOM,2004,2004-12-31,6442.6230,6442623000
XOM,2003,2003-12-31,6554.2169,6554216900
XOM,2002,2002-12-31,6704.7619,6704761900
XOM,2001,2001-12-31,6966.6667,6966666700
XOM,2000,2000-12-31,6993.0070,6993007000
XOM,1999,1999-12-31,7030.3030,7030303000
XOM,1998,1998-12-31,4910.0000,4910000000
XOM,1997,1997-12-31,4973.6842,4973684200
XOM,1996,1996-12-31,5058.1395,5058139500
XOM,1995,1995-12-31,5026.6667,5026666700
XOM,1994,1994-12-31,4955.2239,4955223900
XOM,1993,1993-12-31,5043.4783,5043478300
XOM,1992,1992-12-31,5042.5532,5042553200
XOM,1991,1991-12-31,5000.0000,5000000000
XOM,1990,1990-12-31,5033.7079,5033707900
XOM,1989,1989-12-31,5019.6078,5019607800
XOM,1988,1988-12-31,5154.8000,5154800000
XOM,1987,1987-12-31,5424.8000,5424800000
XOM,1986,1986-12-31,5704.0000,5704000000
XOM,1985,1985-12-31,5848.0000,5848000000
V,2022,2022-12-31,2116.0000,2116000000
V,2021,2021-12-31,2414.0000,2414000000
V,2020,2020-12-31,2456.0000,2456000000
V,2019,2019-12-31,2496.0000,2496000000
V,2018,2018-12-31,2548.0000,2548000000
V,2017,2017-12-31,2611.0000,2611000000
V,2016,2016-12-31,2683.0000,2683000000
V,2015,2015-12-31,2695.0000,2695000000
V,2014,2014-12-31,2745.0000,2745000000
V,2013,2013-12-31,3644.0000,3644000000
V,2012,2012-12-31,3776.0000,3776000000
V,2011,2011-12-31,3924.0000,3924000000
V,2010,2010-12-31,2876.0000,2876000000
V,2009,2009-12-31,2980.0000,2980000000
V,2008,2008-12-31,4676.0000,4676000000
V,2007,2007-12-31,3100.3220,3100322000
V,2006,2006-12-31,3100.0000,3100000000
JPM,2022,2022-12-31,2965.4000,2965400000
JPM,2021,2021-12-31,2981.8000,2981800000
JPM,2020,2020-12-31,3085.1000,3085100000
JPM,2019,2019-12-31,3148.5000,3148500000
JPM,2018,2018-12-31,3347.3000,3347300000
JPM,2017,2017-12-31,3512.2000,3512200000
JPM,2016,2016-12-31,3606.0000,3606000000
JPM,2015,2015-12-31,3704.6000,3704600000
JPM,2014,2014-12-31,3765.2000,3765200000
JPM,2013,2013-12-31,3797.1000,3797100000
JPM,2012,2012-12-31,3820.9000,3820900000
JPM,2011,2011-12-31,3811.7000,3811700000
JPM,2010,2010-12-31,3935.2000,3935200000
JPM,2009,2009-12-31,3974.1000,3974100000
JPM,2008,2008-12-31,3737.5000,3737500000
JPM,2007,2007-12-31,3396.0000,3396000000
JPM,2006,2006-12-31,3456.4000,3456400000
JPM,2005,2005-12-31,3472.7000,3472700000
JPM,2004,2004-12-31,3517.5000,3517500000
JPM,2003,2003-12-31,2032.0000,2032000000
JPM,2002,2002-12-31,2000.0000,2000000000
JPM,2001,2001-12-31,1978.2000,1978200000
JPM,2000,2000-12-31,1966.6000,1966600000
JPM,1999,1999-12-31,1220.7000,1220700000
JPM,1998,1998-12-31,1264.7680,1264768000
JPM,1997,1997-12-31,1256.3636,1256363600
JPM,1996,1996-12-31,1301.4925,1301492500
JPM,1995,1995-12-31,809.0909,809090900
JPM,1994,1994-12-31,785.7143,785714300
JPM,1993,1993-12-31,760.6557,760655700
JPM,1992,1992-12-31,751.5152,751515200
JPM,1991,1991-12-31,272.1951,272195100
JPM,1990,1990-12-31,272.6087,272608700
JPM,1989,1989-12-31,345.3583,345358300
JPM,1988,1988-12-31,168.5967,168596700
JPM,1987,1987-12-31,152.4978,152497800
JPM,1986,1986-12-31,147.9430,147943000
TSLA,2022,2022-12-31,3468.0000,3468000000
TSLA,2021,2021-12-31,3100.5228,3100522800
TSLA,2020,2020-12-31,3372.0000,3372000000
TSLA,2019,2019-12-31,2805.0000,2805000000
TSLA,2018,2018-12-31,2685.3900,2685390000
TSLA,2017,2017-12-31,2524.7100,2524710000
TSLA,2016,2016-12-31,2325.3600,2325360000
TSLA,2015,2015-12-31,1966.5000,1966500000
TSLA,2014,2014-12-31,1882.4550,1882455000
TSLA,2013,2013-12-31,1842.0300,1842030000
TSLA,2012,2012-12-31,1706.4450,1706445000
TSLA,2011,2011-12-31,1571.7600,1571760000
TSLA,2010,2010-12-31,1427.8102,1427810200
TSLA,2009,2009-12-31,1169.6075,1169607500
TSLA,2008,2008-12-31,1169.6075,1169607500
WMT,2022,2022-12-31,2711.0000,2711000000
WMT,2021,2021-12-31,2797.0000,2797000000
WMT,2020,2020-12-31,2849.0000,2849000000
WMT,2019,2019-12-31,2861.0000,2861000000
WMT,2018,2018-12-31,2941.0000,2941000000
WMT,2017,2017-12-31,2996.0000,2996000000
WMT,2016,2016-12-31,3100.0000,3100000000
WMT,2015,2015-12-31,3219.0000,3219000000
WMT,2014,2014-12-31,3240.0000,3240000000
WMT,2013,2013-12-31,3271.0000,3271000000
WMT,2012,2012-12-31,3379.0000,3379000000
WMT,2011,2011-12-31,3458.0000,3458000000
WMT,2010,2010-12-31,3631.0000,3631000000
WMT,2009,2009-12-31,3861.0000,3861000000
WMT,2008,2008-12-31,3944.0000,3944000000
WMT,2007,2007-12-31,4056.0000,4056000000
WMT,2006,2006-12-31,4173.0000,4173000000
WMT,2005,2005-12-31,4169.0000,4169000000
WMT,2004,2004-12-31,4249.0000,4249000000
